num_regions: 500
region46: [[-0.75, -0.9, -0.75], [-1.15, -0.9, -0.75], [-1.15, -1.3, -0.75], [-0.75, -1.3, -0.75]]
region47: [[-1.15, -0.9, -0.75], [-1.55, -0.9, -0.75], [-1.55, -1.3, -0.75], [-1.15, -1.3, -0.75]]
region48: [[-1.55, -0.9, -0.75], [-1.95, -0.9, -0.75], [-1.95, -1.3, -0.75], [-1.55, -1.3, -0.75]]
region49: [[-1.95, -0.9, -0.75], [-2.35, -0.9, -0.75], [-2.35, -1.3, -0.75], [-1.95, -1.3, -0.75]]
region50: [[-2.35, -0.9, -0.75], [-2.75, -0.9, -0.75], [-2.75, -1.3, -0.75], [-2.35, -1.3, -0.75]]
region51: [[-2.75, -0.9, -0.75], [-3.15, -0.9, -0.75], [-3.15, -1.3, -0.75], [-2.75, -1.3, -0.75]]
region52: [[-3.15, -0.9, -0.75], [-3.55, -0.9, -0.75], [-3.55, -1.3, -0.75], [-3.15, -1.3, -0.75]]
region53: [[-3.55, -0.9, -0.75], [-3.95, -0.9, -0.75], [-3.95, -1.3, -0.75], [-3.55, -1.3, -0.75]]
region54: [[-3.95, -0.9, -0.75], [-4.35, -0.9, -0.75], [-4.35, -1.3, -0.75], [-3.95, -1.3, -0.75]]
region55: [[-4.35, -0.9, -0.75], [-4.75, -0.9, -0.75], [-4.75, -1.3, -0.75], [-4.35, -1.3, -0.75]]
region56: [[-4.75, -0.9, -0.75], [-5.15, -0.9, -0.75], [-5.15, -1.3, -0.75], [-4.75, -1.3, -0.75]]
region57: [[-5.15, -0.9, -0.75], [-5.55, -0.9, -0.75], [-5.55, -1.3, -0.75], [-5.15, -1.3, -0.75]]
region58: [[-5.55, -0.9, -0.75], [-5.95, -0.9, -0.75], [-5.95, -1.3, -0.75], [-5.55, -1.3, -0.75]]
region59: [[-5.95, -0.9, -0.75], [-6.35, -0.9, -0.75], [-6.35, -1.3, -0.75], [-5.95, -1.3, -0.75]]
region60: [[1.65, -0.5, -0.75], [1.25, -0.5, -0.75], [1.25, -0.9, -0.75], [1.65, -0.9, -0.75]]
region61: [[1.25, -0.5, -0.75], [0.85, -0.5, -0.75], [0.85, -0.9, -0.75], [1.25, -0.9, -0.75]]
region62: [[0.85, -0.5, -0.75], [0.45, -0.5, -0.75], [0.45, -0.9, -0.75], [0.85, -0.9, -0.75]]
region63: [[0.45, -0.5, -0.75], [0.05, -0.5, -0.75], [0.05, -0.9, -0.75], [0.45, -0.9, -0.75]]
region64: [[0.05, -0.5, -0.75], [-0.35, -0.5, -0.75], [-0.35, -0.9, -0.75], [0.05, -0.9, -0.75]]
region65: [[-0.35, -0.5, -0.75], [-0.75, -0.5, -0.75], [-0.75, -0.9, -0.75], [-0.35, -0.9, -0.75]]
region66: [[-0.75, -0.5, -0.75], [-1.15, -0.5, -0.75], [-1.15, -0.9, -0.75], [-0.75, -0.9, -0.75]]
region67: [[-1.15, -0.5, -0.75], [-1.55, -0.5, -0.75], [-1.55, -0.9, -0.75], [-1.15, -0.9, -0.75]]
region68: [[-1.55, -0.5, -0.75], [-1.95, -0.5, -0.75], [-1.95, -0.9, -0.75], [-1.55, -0.9, -0.75]]
region69: [[-1.95, -0.5, -0.75], [-2.35, -0.5, -0.75], [-2.35, -0.9, -0.75], [-1.95, -0.9, -0.75]]
region70: [[-2.35, -0.5, -0.75], [-2.75, -0.5, -0.75], [-2.75, -0.9, -0.75], [-2.35, -0.9, -0.75]]
region71: [[-2.75, -0.5, -0.75], [-3.15, -0.5, -0.75], [-3.15, -0.9, -0.75], [-2.75, -0.9, -0.75]]
region72: [[-3.15, -0.5, -0.75], [-3.55, -0.5, -0.75], [-3.55, -0.9, -0.75], [-3.15, -0.9, -0.75]]
region73: [[-3.55, -0.5, -0.75], [-3.95, -0.5, -0.75], [-3.95, -0.9, -0.75], [-3.55, -0.9, -0.75]]
region74: [[-3.95, -0.5, -0.75], [-4.35, -0.5, -0.75], [-4.35, -0.9, -0.75], [-3.95, -0.9, -0.75]]
region75: [[-4.35, -0.5, -0.75], [-4.75, -0.5, -0.75], [-4.75, -0.9, -0.75], [-4.35, -0.9, -0.75]]
region76: [[-4.75, -0.5, -0.75], [-5.15, -0.5, -0.75], [-5.15, -0.9, -0.75], [-4.75, -0.9, -0.75]]
region77: [[-5.15, -0.5, -0.75], [-5.55, -0.5, -0.75], [-5.55, -0.9, -0.75], [-5.15, -0.9, -0.75]]
region78: [[-5.55, -0.5, -0.75], [-5.95, -0.5, -0.75], [-5.95, -0.9, -0.75], [-5.55, -0.9, -0.75]]
region79: [[-5.95, -0.5, -0.75], [-6.35, -0.5, -0.75], [-6.35, -0.9, -0.75], [-5.95, -0.9, -0.75]]
region80: [[1.65, -0.1, -0.75], [1.25, -0.1, -0.75], [1.25, -0.5, -0.75], [1.65, -0.5, -0.75]]
region81: [[1.25, -0.1, -0.75], [0.85, -0.1, -0.75], [0.85, -0.5, -0.75], [1.25, -0.5, -0.75]]
region82: [[0.85, -0.1, -0.75], [0.45, -0.1, -0.75], [0.45, -0.5, -0.75], [0.85, -0.5, -0.75]]
region83: [[0.45, -0.1, -0.75], [0.05, -0.1, -0.75], [0.05, -0.5, -0.75], [0.45, -0.5, -0.75]]
region84: [[0.05, -0.1, -0.75], [-0.35, -0.1, -0.75], [-0.35, -0.5, -0.75], [0.05, -0.5, -0.75]]
region85: [[-0.35, -0.1, -0.75], [-0.75, -0.1, -0.75], [-0.75, -0.5, -0.75], [-0.35, -0.5, -0.75]]
region86: [[-0.75, -0.1, -0.75], [-1.15, -0.1, -0.75], [-1.15, -0.5, -0.75], [-0.75, -0.5, -0.75]]
region87: [[-1.15, -0.1, -0.75], [-1.55, -0.1, -0.75], [-1.55, -0.5, -0.75], [-1.15, -0.5, -0.75]]
region88: [[-1.55, -0.1, -0.75], [-1.95, -0.1, -0.75], [-1.95, -0.5, -0.75], [-1.55, -0.5, -0.75]]
region89: [[-1.95, -0.1, -0.75], [-2.35, -0.1, -0.75], [-2.35, -0.5, -0.75], [-1.95, -0.5, -0.75]]
region90: [[-2.35, -0.1, -0.75], [-2.75, -0.1, -0.75], [-2.75, -0.5, -0.75], [-2.35, -0.5, -0.75]]
region91: [[-2.75, -0.1, -0.75], [-3.15, -0.1, -0.75], [-3.15, -0.5, -0.75], [-2.75, -0.5, -0.75]]
region92: [[-3.15, -0.1, -0.75], [-3.55, -0.1, -0.75], [-3.55, -0.5, -0.75], [-3.15, -0.5, -0.75]]
region93: [[-3.55, -0.1, -0.75], [-3.95, -0.1, -0.75], [-3.95, -0.5, -0.75], [-3.55, -0.5, -0.75]]
region94: [[-3.95, -0.1, -0.75], [-4.35, -0.1, -0.75], [-4.35, -0.5, -0.75], [-3.95, -0.5, -0.75]]
region95: [[-4.35, -0.1, -0.75], [-4.75, -0.1, -0.75], [-4.75, -0.5, -0.75], [-4.35, -0.5, -0.75]]
region96: [[-4.75, -0.1, -0.75], [-5.15, -0.1, -0.75], [-5.15, -0.5, -0.75], [-4.75, -0.5, -0.75]]
region97: [[-5.15, -0.1, -0.75], [-5.55, -0.1, -0.75], [-5.55, -0.5, -0.75], [-5.15, -0.5, -0.75]]
region98: [[-5.55, -0.1, -0.75], [-5.95, -0.1, -0.75], [-5.95, -0.5, -0.75], [-5.55, -0.5, -0.75]]
region99: [[-5.95, -0.1, -0.75], [-6.35, -0.1, -0.75], [-6.35, -0.5, -0.75], [-5.95, -0.5, -0.75]]
